"hospital_id","hospital_name","hospital_type","owner_group","owner_type","address","city","state","county","county_fips","latitude","longitude","beds","units_at_site","has_helipad","trauma_category","trauma_adult_level","is_level12_trauma","nearest_trauma_id","nearest_trauma_name","nearest_trauma_state","distance_km","distance_band","distance_band_order"
"0196784422","14TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"201 INDEPENDENCE DRIVE, SUITE 101",COLUMBUS,MS,LOWNDES,"28087",33.6257558,-88.4535778,,1,false,NOT REPORTED,,false,"0005438801",NORTH MISSISSIPPI MEDICAL CENTER,MS,72.7,"50-100 km",3
"0196784423","15TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"755 SCOTT CIRCLE",HICKAM AFB,HI,HONOLULU,"15003",21.33945114,-157.95852789,,1,false,NOT REPORTED,,false,"0195696859",TRIPLER ARMY MEDICAL CENTER,HI,7.4,< 25 km,1
"0196784425","19TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"1090 ARNOLD DRIVE",LITTLE ROCK AFB,AR,PULASKI,"05119",34.89566356,-92.14981865,,1,false,NOT REPORTED,,false,"0063872202",ARKANSAS CHILDREN'S HOSPITAL,AR,21.4,< 25 km,1
"0196784426","1ST SPECIAL OPERATIONS MEDICAL GROUP - HURLBURT FIELD",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"113 LIELMANIS AVE",HURLBURT FIELD,FL,OKALOOSA,"12091",30.4194026,-86.681017,,1,false,NOT REPORTED,,false,"0013932547",FORT WALTON BEACH MEDICAL CENTER,FL,6.0,< 25 km,1
"0196784427","20TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"431 MEADOWLARK STREET",SHAW AFB,SC,SUMTER,"45085",33.9708044,-80.4889839,,1,false,NOT REPORTED,,false,"0001429203",PRISMA HEALTH RICHLAND,SC,50.6,"50-100 km",3
"0196784429","22D MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"57950 LEAVENWORTH STREET, BUILDING 250",MCCONNELL AFB,KS,SEDGWICK,"20173",37.6324176,-97.24611967,,1,false,NOT REPORTED,,false,"0015367214",WESLEY MEDICAL CENTER,KS,8.3,< 25 km,1
"0196784430","23D MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"3278 MITCHELL BOULEVARD",MOODY AIR FORCE BASE,GA,LOWNDES,"13185",30.97656122,-83.20729272,,1,false,NOT REPORTED,,false,"0039632308",TALLAHASSEE MEMORIAL HOSPITAL,FL,116.2,"100-200 km",4
"0196784431","27TH SPECIAL OPERATIONS MEDICAL GROUP - CANNON AIR FORCE BASE MEDICAL FACILITY",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"208 WEST DL INGRAM AVE",CANNON AFB,NM,CURRY,"35009",34.40191248,-103.32853292,,1,false,NOT REPORTED,,false,"0003088201",EASTERN NEW MEXICO MEDICAL CENTER,NM,155.2,"100-200 km",4
"0196784432","28TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"2900 DOOLITTLE DRIVE",ELLSWORTH AFB,SD,MEADE,"46093",44.1473989,-103.0726056,,1,false,NOT REPORTED,,false,"0004957701",MONUMENT HEALTH RAPID CITY HOSPITAL,SD,15.7,< 25 km,1
"0196784433","2ND MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"243 CURTISS ROAD, SUITE 100",BARKSDALE AFB,LA,BOSSIER,"22015",32.4914255,-93.6805103,,1,false,NOT REPORTED,,false,"0010471103",OCHSNER LSU HEALTH SHREVEPORT,LA,7.7,< 25 km,1
"0196784434","30TH ADJUTANT GENERAL RECEPTION BATTALION - TMC 4",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"7950 MARTIN LOOP",FORT BENNING,GA,RICHMOND,"13245",33.42351282,-82.15805095,,1,false,NOT REPORTED,,false,"0018830909",DOCTORS HOSPITAL,GA,9.1,< 25 km,1
"0196784435","30TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"338 SOUTH DAKOTA, BUILDING 13850",VANDENBERG AFB,CA,SANTA BARBARA,"06083",34.74461769,-120.54161146,,1,true,NOT REPORTED,,false,"0074193102",SANTA BARBARA COTTAGE HOSPITAL,CA,82.7,"50-100 km",3
"0196784437","316TH MEDICAL SQUADRON",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"238 BROOKLEY AVENUE",JOINT BASE ANACOSTIA-BOLLING,DC,DISTRICT OF COLUMBIA,"11001",38.83614664,-77.01418597,,1,false,NOT REPORTED,,false,"0001220037",GEORGE WASHINGTON UNIVERSITY HOSPITAL,DC,7.9,< 25 km,1
"0196784438","319TH MEDICAL GROUP - GRAND FORKS AFB MEDICAL FACILITY",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"1599 J STREET",GRAND FORKS AFB,ND,GRAND FORKS,"38035",47.95062491,-97.37394655,,1,false,NOT REPORTED,,false,"0000558201",ALTRU HOSPITAL,ND,23.2,< 25 km,1
"0196784439","325TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"340 MAGNOLIA CIRCLE",TYNDALL AFB,FL,BAY,"12005",30.071384,-85.6028464,,1,false,NOT REPORTED,,false,"0002632401",ASCENSION SACRED HEART BAY,FL,10.8,< 25 km,1
"0196784440","341ST MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"7300 N PERIMETER RD",MALMSTROM AFB,MT,CASCADE,"30013",47.5165614,-111.1955012,,1,false,NOT REPORTED,,false,"0005059405",BENEFIS HOSPITALS INC,MT,5.6,< 25 km,1
"0060099702","354TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"2630 CENTRAL AVENUE",EIELSON AFB,AK,FAIRBANKS NORTH STAR,"02090",64.67840671,-147.09262453,,1,false,NOT REPORTED,,false,"0000799508",ALASKA NATIVE MEDICAL CENTER,AK,412.0,> 200 km,5
"0069585707","355TH MEDICAL GROUP",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"4175 SOUTH ALAMO AVENUE",DAVIS-MONTHAN AFB,AZ,PIMA,"04019",32.17326043,-110.85980967,,1,false,NOT REPORTED,,false,"0067785724",BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,11.2,< 25 km,1
"0196784442","366TH MEDICAL GROUP - MT. HOME AFB MEDICAL FACILITY",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"90 HOPE DRIVE, BUILDING 6000",MOUNTAIN HOME AFB,ID,ELMORE,"16039",43.065168,-115.850283,,1,false,NOT REPORTED,,false,"0001083706",SAINT ALPHONSUS REGIONAL MEDICAL CENTER,ID,69.2,"50-100 km",3
"0196784444","377TH MEDICAL GROUP - KIRTLAND AIR FORCE BASE MEDICAL FACILITY",MILITARY,GOVERNMENT,GOVERNMENT - FEDERAL,"1501 SAN PEDRO SE, BUILDING 47",ALBUQUERQUE,NM,BERNALILLO,"35001",35.05404937,-106.58148568,,1,false,NOT REPORTED,,false,"0001287106",UNM HOSPITAL,NM,5.0,< 25 km,1
