"state","n_hospitals","n_sites","total_beds","pct_beds_reported","n_level12_trauma","n_critical_access","pct_critical_access","median_distance_km","max_distance_km","n_over_100km","pct_over_100km","trauma_reporting_rate","trauma_reporting_flag"
AK,37,37,1826,0.8378,2,17,0.4595,374.0,1832.4,23,0.6216,0.5405,OK
AL,129,129,18903,0.9457,6,5,0.0388,48.1,162.9,14,0.1085,0.4729,OK
AR,119,119,13181,0.9916,6,22,0.1849,61.9,180.9,22,0.1849,0.4874,OK
AZ,165,165,18555,0.8121,14,26,0.1576,11.5,232.6,36,0.2182,0.2970,OK
CA,614,612,90324,0.9723,58,35,0.0570,7.7,214.8,28,0.0456,0.1433,OK
CO,133,133,14684,0.9023,19,6,0.0451,5.9,216.5,32,0.2406,0.5865,OK
CT,46,46,11833,0.9130,4,0,0.0000,21.9,66.6,0,0.0000,0.2826,OK
DC,15,15,4059,0.8667,4,0,0.0000,3.3,9.2,0,0.0000,0.2667,OK
DE,18,18,3474,0.9444,1,0,0.0000,20.1,111.5,2,0.1111,0.4444,OK
FL,351,351,73052,0.9715,33,0,0.0000,11.4,185.9,3,0.0085,0.1026,OK
GA,199,199,30150,0.9598,15,24,0.1206,31.3,163.9,23,0.1156,0.1709,OK
HI,33,33,3566,0.9394,3,9,0.2727,15.0,341.6,12,0.3636,0.1515,OK
IA,141,141,14112,0.9787,5,84,0.5957,67.6,134.0,22,0.1560,0.8369,OK
ID,58,58,4017,0.9310,4,27,0.4655,39.9,194.3,18,0.3103,0.4138,OK
IL,219,219,38112,0.9954,61,51,0.2329,5.3,115.7,3,0.0137,0.2831,OK
IN,194,194,22143,0.9536,10,35,0.1804,35.2,127.7,5,0.0258,0.1289,OK
KS,174,174,14342,0.9483,6,84,0.4828,80.4,325.5,72,0.4138,0.2701,OK
KY,128,128,19153,0.9531,5,28,0.2188,50.3,144.6,19,0.1484,0.1719,OK
LA,254,254,22891,0.9843,8,6,0.0236,27.3,170.0,38,0.1496,0.0472,LOW
MA,135,135,21971,0.9704,12,0,0.0000,12.9,80.0,0,0.0000,0.1481,OK
MD,71,71,13691,0.9718,6,0,0.0000,16.5,131.8,4,0.0563,0.1408,OK
ME,47,47,4230,0.9362,3,16,0.3404,56.0,273.5,8,0.1702,0.0851,LOW
MI,232,217,28049,0.9914,39,18,0.0776,9.0,155.2,12,0.0517,0.4655,OK
MN,145,145,17707,0.9862,9,78,0.5379,74.9,223.8,45,0.3103,0.8207,OK
MO,172,172,24328,0.9767,37,35,0.2035,8.8,147.4,13,0.0756,0.4070,OK
MS,123,123,15238,0.9675,4,17,0.1382,65.9,165.5,30,0.2439,0.6748,OK
MT,70,70,3535,0.9429,4,50,0.7143,120.6,322.7,45,0.6429,0.6000,OK
NC,150,150,28016,0.9467,10,20,0.1333,39.0,125.7,3,0.0200,0.1200,OK
ND,61,61,3670,0.8689,6,38,0.6230,80.0,212.5,21,0.3443,0.0984,LOW
NE,113,113,7252,0.9646,5,65,0.5752,64.5,253.3,27,0.2389,0.4602,OK
NH,37,37,3420,0.9189,4,13,0.3514,26.3,143.4,3,0.0811,0.2703,OK
NJ,146,146,32872,0.9315,10,0,0.0000,10.6,53.1,0,0.0000,0.0685,LOW
NM,79,79,5180,0.8101,5,13,0.1646,63.8,254.4,30,0.3797,0.1646,OK
NV,73,73,9690,0.9589,3,15,0.2055,11.1,313.2,8,0.1096,0.0822,LOW
NY,269,269,60175,0.9628,36,19,0.0706,8.3,141.3,6,0.0223,0.1822,OK
OH,286,286,47609,0.9650,26,13,0.0455,12.2,122.5,2,0.0070,0.1853,OK
OK,198,181,16343,0.9646,4,46,0.2323,59.1,328.4,52,0.2626,0.5354,OK
OR,70,70,8835,0.9286,8,25,0.3571,27.6,247.0,19,0.2714,0.6286,OK
PA,269,269,47370,0.9963,35,0,0.0000,6.9,116.9,3,0.0112,0.1970,OK
RI,19,19,3720,0.8947,2,0,0.0000,6.4,60.8,0,0.0000,0.1053,OK
SC,112,112,15460,0.9643,6,2,0.0179,19.1,112.4,2,0.0179,0.1250,OK
SD,72,72,3420,0.9444,3,42,0.5833,102.9,251.3,37,0.5139,0.6667,OK
TN,156,156,43070,0.9808,10,8,0.0513,29.1,158.2,20,0.1282,0.1282,OK
TX,768,768,91582,0.9857,44,88,0.1146,15.8,310.5,145,0.1888,0.4167,OK
UT,73,73,7551,0.9178,8,14,0.1918,12.9,182.8,14,0.1918,0.3425,OK
VA,142,142,29315,0.9507,17,7,0.0493,14.7,102.1,1,0.0070,0.1761,OK
VT,17,17,1415,0.9412,1,8,0.4706,53.3,94.6,0,0.0000,0.0588,LOW
WA,134,134,15163,0.9627,9,39,0.2910,21.6,227.4,36,0.2687,0.6343,OK
WI,176,176,19270,0.9773,13,58,0.3295,26.1,123.1,7,0.0398,0.6818,OK
WV,73,73,8319,0.8767,4,21,0.2877,45.0,107.0,4,0.0548,0.4521,OK
WY,36,36,1931,0.8611,2,16,0.4444,104.7,231.1,20,0.5556,0.7222,OK
